################################################################################
# Copyright (c) 2004-2007 by Tensilica Inc.  ALL RIGHTS RESERVED.              #
# These coded instructions, statements, and computer programs are the          #
# copyrighted works and confidential proprietary information of Tensilica Inc. #
# They may not be modified, copied, reproduced, distributed, or disclosed to   #
# third parties in any manner, medium, or form, in whole or in part, without   #
# the prior written consent of Tensilica Inc.                                  #
################################################################################
# Tech     OpCond    Mem    Words Bits  Mux     Pcr     Pcw     Pci      Pa      Pd       Pleak       Area
130g       Best      ram       16    4    4  11.754  11.206   0.210   0.490   0.210       1.138   17544.76
130g       Best      ram       16    8    4  16.252  15.327   0.287   0.671   0.144       1.538   21304.24
130g       Best      ram       16   12    4  20.750  19.449   0.365   0.851   0.122       1.939   25063.71
130g       Best      ram       16   16    4  25.248  23.571   0.442   1.031   0.110       2.339   28823.19
130g       Best      ram       16   17    4  26.373  24.601   0.461   1.076   0.109       2.440   29889.60
130g       Best      ram       16   18    4  27.497  25.632   0.481   1.121   0.107       2.540   30787.29
130g       Best      ram       16   19    4  28.622  26.662   0.500   1.166   0.105       2.640   31684.98
130g       Best      ram       16   20    4  29.746  27.693   0.519   1.212   0.104       2.740   32582.67
130g       Best      ram       16   21    4  30.871  28.723   0.539   1.257   0.103       2.840   33649.07
130g       Best      ram       16   22    4  31.994  29.752   0.558   1.302   0.101       2.940   34546.76
130g       Best      ram       16   23    4  33.116  30.780   0.578   1.348   0.100       3.040   35444.45
130g       Best      ram       16   24    4  34.238  31.808   0.597   1.393   0.099       3.141   36342.14
130g       Best      ram       16   25    4  35.360  32.836   0.617   1.439   0.099       3.241   37408.55
130g       Best      ram       16   26    4  36.483  33.864   0.636   1.485   0.098       3.341   38306.24
130g       Best      ram       16   27    4  37.605  34.893   0.656   1.530   0.097       3.441   39203.93
130g       Best      ram       16   28    4  38.727  35.921   0.675   1.576   0.096       3.541   40101.62
130g       Best      ram       16   32    4  43.216  40.033   0.754   1.759   0.094       3.942   43861.10
130g       Best      ram       16   64    4  79.125  72.932   1.380   3.220   0.086       7.146   78001.50
130g       Best      ram       16  128    4 152.695 139.574   2.663   6.214   0.082      13.555  155254.20
130g       Best      ram       32    4    4  12.049  11.480   0.215   0.402   0.215       1.222   18419.98
130g       Best      ram       32    8    4  16.546  15.622   0.293   0.547   0.146       1.645   22367.00
130g       Best      ram       32   12    4  21.044  19.764   0.371   0.692   0.124       2.069   26314.02
130g       Best      ram       32   16    4  25.541  23.905   0.448   0.837   0.112       2.492   30261.04
130g       Best      ram       32   17    4  26.666  24.941   0.468   0.873   0.110       2.598   31380.65
130g       Best      ram       32   18    4  27.790  25.976   0.487   0.909   0.108       2.704   32323.12
130g       Best      ram       32   19    4  28.914  27.012   0.506   0.945   0.107       2.810   33265.59
130g       Best      ram       32   20    4  30.039  28.047   0.526   0.982   0.105       2.916   34208.06
130g       Best      ram       32   21    4  31.163  29.083   0.545   1.018   0.104       3.021   35327.67
130g       Best      ram       32   22    4  32.287  30.118   0.565   1.054   0.103       3.127   36270.14
130g       Best      ram       32   23    4  33.412  31.153   0.584   1.090   0.102       3.233   37212.61
130g       Best      ram       32   24    4  34.536  32.189   0.604   1.127   0.101       3.339   38155.08
130g       Best      ram       32   25    4  35.660  33.224   0.623   1.163   0.100       3.445   39274.69
130g       Best      ram       32   26    4  36.785  34.260   0.642   1.199   0.099       3.551   40217.16
130g       Best      ram       32   27    4  37.909  35.295   0.662   1.235   0.098       3.657   41159.63
130g       Best      ram       32   28    4  39.033  36.331   0.681   1.272   0.097       3.763   42102.10
130g       Best      ram       32   32    4  43.528  40.469   0.759   1.417   0.095       4.186   46049.12
130g       Best      ram       32   64    4  79.456  73.553   1.386   2.587   0.086       7.574   81760.10
130g       Best      ram       32  128    4 153.046 140.564   2.669   4.983   0.083      14.349  162142.95
130g       Best      ram       64    4    4  12.639  12.030   0.226   0.351   0.226       1.390   20170.44
130g       Best      ram       64    8    4  17.135  16.211   0.304   0.473   0.152       1.859   24492.54
130g       Best      ram       64   12    4  21.631  20.393   0.382   0.595   0.127       2.328   28814.65
130g       Best      ram       64   16    4  26.127  24.575   0.461   0.717   0.115       2.797   33136.75
130g       Best      ram       64   17    4  27.251  25.620   0.480   0.747   0.113       2.915   34362.75
130g       Best      ram       64   18    4  28.375  26.665   0.500   0.778   0.111       3.032   35394.79
130g       Best      ram       64   19    4  29.499  27.711   0.520   0.808   0.109       3.149   36426.82
130g       Best      ram       64   20    4  30.623  28.756   0.539   0.839   0.108       3.267   37458.86
